No.,Age,Expedition,Location,Name,Year,Nationality,Cause.of.death,Year_descr,Num_Deaths_In_Yr
NA,NA,NA,NA,Yves Morin ,1979,France ,Exhaustion ,Before 2000,10
NA,NA,NA,NA,Jiri Pelikan ,1988,Czechoslovakia ,Fall on descent ,Before 2000,14
NA,NA,NA,NA,Hideji Nazuka ,2004,Japan ,Avalanche ,2000-2020,9
NA,NA,NA,NA,Michio Sato ,2004,Japan ,Avalanche ,2000-2020,9
NA,NA,NA,NA,Pierre Béghin ,1992,France ,Fall ,Before 2000,6
NA,NA,NA,NA,Rai Shanti ,1982,Nepal ,Fall ,Before 2000,16
NA,NA,NA,NA,Franz Tegischer ,1975,Austria ,Avalanche ,Before 2000,3
NA,NA,NA,NA,Alison Chadwick-Onyszkiewicz ,1978,United Kingdom ,Fall ,Before 2000,4
NA,NA,NA,NA,Vera Watson ,1978,United States ,Fall ,Before 2000,4
NA,NA,NA,NA,Alex MacIntyre ,1982,United Kingdom ,Rock fall ,Before 2000,16
NA,NA,NA,NA,Tadashi Ushigoe ,1973,Japan ,Avalanche ,Before 2000,8
NA,NA,NA,NA,Sadatoshi Takahashi ,1973,Japan ,Avalanche ,Before 2000,8
NA,NA,NA,NA,Masanori Hama ,1973,Japan ,Avalanche ,Before 2000,8
NA,NA,NA,NA,Kazumi Katagiri ,1973,Japan ,Avalanche ,Before 2000,8
NA,NA,NA,NA,Rinje ,1973,Nepal ,Avalanche ,Before 2000,8
NA,NA,NA,NA,Christian Kuntner ,2005,Italy ,Avalanche ,2000-2020,7
NA,NA,NA,NA,Susumu Akimatsu ,1982,Japan ,Avalanche ,Before 2000,16
NA,NA,NA,NA,Miko Ono ,1982,Japan ,Avalanche ,Before 2000,16
NA,NA,NA,NA,Ramiro Navarrete ,1988,Ecuador ,Fall ,Before 2000,14
NA,NA,NA,NA,Young-seok Park ,2011,South Korea ,Unknown ,2000-2020,9
NA,NA,NA,NA,Dong-min Shin ,2011,South Korea ,Unknown ,2000-2020,9
NA,NA,NA,NA,Ki-seok Kang ,2011,South Korea ,Unknown ,2000-2020,9
NA,NA,NA,NA,Eric Roberts ,1979,United Kingdom ,Avalanche ,Before 2000,10
NA,NA,NA,NA,Maynard Cohick ,1979,United States ,Avalanche ,Before 2000,10
NA,NA,NA,NA,Gil Harder ,1979,United States ,Avalanche ,Before 2000,10
NA,NA,NA,NA,Seog-jee Lee ,1991,South Korea ,Avalanche ,Before 2000,9
NA,NA,NA,NA,Song-gu Lee ,1991,South Korea ,Avalanche ,Before 2000,9
NA,NA,NA,NA,Sange Dawa ,1991,Nepal ,Avalanche ,Before 2000,9
NA,NA,NA,NA,Tendi Lhakpa ,1991,Nepal ,Avalanche ,Before 2000,9
NA,NA,NA,NA,Jangbu Nurbu ,1991,Nepal ,Avalanche ,Before 2000,9
NA,NA,NA,NA,Tenzing ,1991,Nepal ,Avalanche ,Before 2000,9
NA,NA,NA,NA,Toshiyuki Kobayashi ,1987,Japan ,Fall ,Before 2000,7
